# Langmuir probe raw measurement — 2026-06-07 16:12:16
# Points: 1000
voltage_V,current_A,current_mA
-22.7728,-5.50428332e-03,-5.50428
-22.6727,-5.28320527e-03,-5.28321
-22.5726,-5.33315300e-03,-5.33315
-22.4725,-5.44986916e-03,-5.44987
-22.3724,-5.56272376e-03,-5.56272
-22.2723,-5.59562225e-03,-5.59562
-22.1722,-5.36322870e-03,-5.36323
-22.0721,-5.45402873e-03,-5.45403
-21.972,-5.43024870e-03,-5.43025
-21.8719,-5.65067973e-03,-5.65068
-21.7718,-5.38143401e-03,-5.38143
-21.6717,-5.42669115e-03,-5.42669
-21.5716,-5.58113014e-03,-5.58113
-21.4715,-5.51519193e-03,-5.51519
-21.3714,-5.43961857e-03,-5.43962
-21.2713,-5.45869284e-03,-5.45869
-21.1712,-5.49110423e-03,-5.4911
-21.0711,-5.47018180e-03,-5.47018
-20.971,-5.48297482e-03,-5.48297
-20.8709,-5.44046310e-03,-5.44046
-20.7708,-5.30651054e-03,-5.30651
-20.6707,-5.70826401e-03,-5.70826
-20.5706,-5.47321960e-03,-5.47322
-20.4705,-5.42981765e-03,-5.42982
-20.3704,-5.41580165e-03,-5.4158
-20.2703,-5.48052243e-03,-5.48052
-20.1702,-5.61693076e-03,-5.61693
-20.0701,-5.40638426e-03,-5.40638
-19.97,-5.26437154e-03,-5.26437
-19.8699,-5.58841291e-03,-5.58841
-19.7698,-5.34656153e-03,-5.34656
-19.6697,-5.46371169e-03,-5.46371
-19.5696,-5.43490361e-03,-5.4349
-19.4695,-5.53197013e-03,-5.53197
-19.3694,-5.45803197e-03,-5.45803
-19.2693,-5.29248485e-03,-5.29248
-19.1692,-5.36212353e-03,-5.36212
-19.0691,-5.24505429e-03,-5.24505
-18.969,-5.29843722e-03,-5.29844
-18.8689,-5.37015913e-03,-5.37016
-18.7688,-5.23756005e-03,-5.23756
-18.6687,-5.36593608e-03,-5.36594
-18.5686,-5.32491453e-03,-5.32491
-18.4685,-5.43524433e-03,-5.43524
-18.3684,-5.39680232e-03,-5.3968
-18.2683,-5.47106461e-03,-5.47106
-18.1682,-5.30022465e-03,-5.30022
-18.0681,-5.51486956e-03,-5.51487
-17.968,-5.31665551e-03,-5.31666
-17.8679,-5.41180203e-03,-5.4118
-17.7678,-5.27345344e-03,-5.27345
-17.6677,-5.31332716e-03,-5.31333
-17.5676,-5.20417985e-03,-5.20418
-17.4675,-5.31099172e-03,-5.31099
-17.3674,-5.53909206e-03,-5.53909
-17.2673,-5.38639612e-03,-5.3864
-17.1672,-5.49470800e-03,-5.49471
-17.0671,-5.42713525e-03,-5.42714
-16.967,-5.22197769e-03,-5.22198
-16.8669,-5.30713347e-03,-5.30713
-16.7668,-5.43855903e-03,-5.43856
-16.6667,-5.46780943e-03,-5.46781
-16.5666,-5.36092352e-03,-5.36092
-16.4665,-5.48361383e-03,-5.48361
-16.3664,-5.42681973e-03,-5.42682
-16.2663,-5.32624416e-03,-5.32624
-16.1662,-5.23964452e-03,-5.23964
-16.0661,-5.29202113e-03,-5.29202
-15.966,-5.57973841e-03,-5.57974
-15.8659,-5.31787526e-03,-5.31788
-15.7658,-5.33880102e-03,-5.3388
-15.6657,-5.30229743e-03,-5.3023
-15.5656,-5.17973685e-03,-5.17974
-15.4655,-5.54534193e-03,-5.54534
-15.3654,-5.39577727e-03,-5.39578
-15.2653,-5.27521327e-03,-5.27521
-15.1652,-5.49008806e-03,-5.49009
-15.0651,-5.18194578e-03,-5.18195
-14.965,-5.29030399e-03,-5.2903
-14.8649,-5.24006667e-03,-5.24007
-14.7648,-5.37939087e-03,-5.37939
-14.6647,-5.23847708e-03,-5.23848
-14.5646,-5.21054829e-03,-5.21055
-14.4645,-5.29163416e-03,-5.29163
-14.3644,-5.28899239e-03,-5.28899
-14.2643,-5.28289214e-03,-5.28289
-14.1642,-5.39373787e-03,-5.39374
-14.0641,-5.31961541e-03,-5.31962
-13.964,-5.31755571e-03,-5.31756
-13.8639,-5.26138608e-03,-5.26139
-13.7638,-5.19714552e-03,-5.19715
-13.6637,-5.40036381e-03,-5.40036
-13.5636,-5.30437248e-03,-5.30437
-13.4635,-5.14106580e-03,-5.14107
-13.3634,-5.36088762e-03,-5.36089
-13.2633,-5.36604815e-03,-5.36605
-13.1632,-5.26086300e-03,-5.26086
-13.0631,-5.19390089e-03,-5.1939
-12.963,-5.27441707e-03,-5.27442
-12.8629,-5.13985750e-03,-5.13986
-12.7628,-5.18424076e-03,-5.18424
-12.6627,-5.18287654e-03,-5.18288
-12.5626,-5.20875612e-03,-5.20876
-12.4625,-5.02848152e-03,-5.02848
-12.3624,-5.27881089e-03,-5.27881
-12.2623,-5.45566260e-03,-5.45566
-12.1622,-5.09186725e-03,-5.09187
-12.0621,-5.29501049e-03,-5.29501
-11.962,-5.23536473e-03,-5.23536
-11.8619,-5.11207309e-03,-5.11207
-11.7618,-5.40009141e-03,-5.40009
-11.6617,-5.36182809e-03,-5.36183
-11.5616,-5.39354836e-03,-5.39355
-11.4615,-5.30954930e-03,-5.30955
-11.3614,-5.18284358e-03,-5.18284
-11.2613,-5.17101502e-03,-5.17102
-11.1612,-5.19238641e-03,-5.19239
-11.0611,-5.35782234e-03,-5.35782
-10.961,-5.44403827e-03,-5.44404
-10.8609,-5.20402331e-03,-5.20402
-10.7608,-5.25301385e-03,-5.25301
-10.6607,-5.15622025e-03,-5.15622
-10.5606,-5.12822921e-03,-5.12823
-10.4605,-5.18080740e-03,-5.18081
-10.3604,-5.11476443e-03,-5.11476
-10.2603,-5.16393997e-03,-5.16394
-10.1602,-5.12987304e-03,-5.12987
-10.0601,-5.24929808e-03,-5.2493
-9.95996,-5.19267369e-03,-5.19267
-9.85986,-5.15084493e-03,-5.15084
-9.75976,-5.08420544e-03,-5.08421
-9.65966,-5.20129140e-03,-5.20129
-9.55956,-5.10538019e-03,-5.10538
-9.45946,-5.17957838e-03,-5.17958
-9.35936,-5.16016146e-03,-5.16016
-9.25926,-5.06078036e-03,-5.06078
-9.15916,-5.33827263e-03,-5.33827
-9.05906,-5.26375439e-03,-5.26375
-8.95896,-5.27736931e-03,-5.27737
-8.85886,-5.35745575e-03,-5.35746
-8.75876,-5.18676031e-03,-5.18676
-8.65866,-5.03872304e-03,-5.03872
-8.55856,-5.13677661e-03,-5.13678
-8.45846,-5.08301641e-03,-5.08302
-8.35836,-4.98826245e-03,-4.98826
-8.25826,-4.95868191e-03,-4.95868
-8.15816,-5.09250402e-03,-5.0925
-8.05806,-4.94424043e-03,-4.94424
-7.95796,-5.06425979e-03,-5.06426
-7.85786,-5.15094578e-03,-5.15095
-7.75776,-5.12023480e-03,-5.12023
-7.65766,-5.20228761e-03,-5.20229
-7.55756,-5.13633187e-03,-5.13633
-7.45746,-5.07644475e-03,-5.07644
-7.35736,-4.95324383e-03,-4.95324
-7.25726,-4.85431363e-03,-4.85431
-7.15716,-5.15722028e-03,-5.15722
-7.05706,-4.97214814e-03,-4.97215
